PRDHA,MAKTX,MATNR,EAN11
01-01-001,Rambler 20oz Tumbler,MAT001,012345678901
01-01-002,Rambler 30oz Tumbler,MAT002,012345678902
01-02-001,Hopper Flip 12,MAT003,012345678903
01-02-002,Hopper M30,MAT004,012345678904
02-01-001,Tundra 45 Cooler,MAT005,012345678905
02-01-002,Tundra 65 Cooler,MAT006,012345678906
02-02-001,Roadie 24 Cooler,MAT007,012345678907
03-01-001,LoadOut Bucket,MAT008,012345678908
03-01-002,Camino Carryall,MAT009,012345678909
03-02-001,Panga Backpack,MAT010,012345678910
01-01-00001,Test Product 1,MAT00001,400000000001
01-01-00002,Test Product 2,MAT00002,400000000002
01-01-00003,Test Product 3,MAT00003,400000000003
01-01-00004,Test Product 4,MAT00004,400000000004
01-01-00005,Test Product 5,MAT00005,400000000005
01-01-00006,Test Product 6,MAT00006,400000000006
01-01-00007,Test Product 7,MAT00007,400000000007
01-01-00008,Test Product 8,MAT00008,400000000008
01-01-00009,Test Product 9,MAT00009,400000000009
01-01-00010,Test Product 10,MAT00010,400000000010
01-01-00011,Test Product 11,MAT00011,400000000011
01-01-00012,Test Product 12,MAT00012,400000000012
01-01-00013,Test Product 13,MAT00013,400000000013
01-01-00014,Test Product 14,MAT00014,400000000014
01-01-00015,Test Product 15,MAT00015,400000000015
01-01-00016,Test Product 16,MAT00016,400000000016
01-01-00017,Test Product 17,MAT00017,400000000017
01-01-00018,Test Product 18,MAT00018,400000000018
01-01-00019,Test Product 19,MAT00019,400000000019
01-01-00020,Test Product 20,MAT00020,400000000020
01-01-00021,Test Product 21,MAT00021,400000000021
01-01-00022,Test Product 22,MAT00022,400000000022
01-01-00023,Test Product 23,MAT00023,400000000023
01-01-00024,Test Product 24,MAT00024,400000000024
01-01-00025,Test Product 25,MAT00025,400000000025
01-01-00026,Test Product 26,MAT00026,400000000026
01-01-00027,Test Product 27,MAT00027,400000000027
01-01-00028,Test Product 28,MAT00028,400000000028
01-01-00029,Test Product 29,MAT00029,400000000029
01-01-00030,Test Product 30,MAT00030,400000000030
01-01-00031,Test Product 31,MAT00031,400000000031
01-01-00032,Test Product 32,MAT00032,400000000032
01-01-00033,Test Product 33,MAT00033,400000000033
01-01-00034,Test Product 34,MAT00034,400000000034
01-01-00035,Test Product 35,MAT00035,400000000035
01-01-00036,Test Product 36,MAT00036,400000000036
01-01-00037,Test Product 37,MAT00037,400000000037
01-01-00038,Test Product 38,MAT00038,400000000038
01-01-00039,Test Product 39,MAT00039,400000000039
01-01-00040,Test Product 40,MAT00040,400000000040
01-01-00041,Test Product 41,MAT00041,400000000041
01-01-00042,Test Product 42,MAT00042,400000000042
01-01-00043,Test Product 43,MAT00043,400000000043
01-01-00044,Test Product 44,MAT00044,400000000044
01-01-00045,Test Product 45,MAT00045,400000000045
01-01-00046,Test Product 46,MAT00046,400000000046
01-01-00047,Test Product 47,MAT00047,400000000047
01-01-00048,Test Product 48,MAT00048,400000000048
01-01-00049,Test Product 49,MAT00049,400000000049
01-01-00050,Test Product 50,MAT00050,400000000050
01-01-00051,Test Product 51,MAT00051,400000000051
01-01-00052,Test Product 52,MAT00052,400000000052
01-01-00053,Test Product 53,MAT00053,400000000053
01-01-00054,Test Product 54,MAT00054,400000000054
01-01-00055,Test Product 55,MAT00055,400000000055
01-01-00056,Test Product 56,MAT00056,400000000056
01-01-00057,Test Product 57,MAT00057,400000000057
01-01-00058,Test Product 58,MAT00058,400000000058
01-01-00059,Test Product 59,MAT00059,400000000059
01-01-00060,Test Product 60,MAT00060,400000000060
01-01-00061,Test Product 61,MAT00061,400000000061
01-01-00062,Test Product 62,MAT00062,400000000062
01-01-00063,Test Product 63,MAT00063,400000000063
01-01-00064,Test Product 64,MAT00064,400000000064
01-01-00065,Test Product 65,MAT00065,400000000065
01-01-00066,Test Product 66,MAT00066,400000000066
01-01-00067,Test Product 67,MAT00067,400000000067
01-01-00068,Test Product 68,MAT00068,400000000068
01-01-00069,Test Product 69,MAT00069,400000000069
01-01-00070,Test Product 70,MAT00070,400000000070
01-01-00071,Test Product 71,MAT00071,400000000071
01-01-00072,Test Product 72,MAT00072,400000000072
01-01-00073,Test Product 73,MAT00073,400000000073
01-01-00074,Test Product 74,MAT00074,400000000074
01-01-00075,Test Product 75,MAT00075,400000000075
01-01-00076,Test Product 76,MAT00076,400000000076
01-01-00077,Test Product 77,MAT00077,400000000077
01-01-00078,Test Product 78,MAT00078,400000000078
01-01-00079,Test Product 79,MAT00079,400000000079
01-01-00080,Test Product 80,MAT00080,400000000080
01-01-00081,Test Product 81,MAT00081,400000000081
01-01-00082,Test Product 82,MAT00082,400000000082
01-01-00083,Test Product 83,MAT00083,400000000083
01-01-00084,Test Product 84,MAT00084,400000000084
01-01-00085,Test Product 85,MAT00085,400000000085
01-01-00086,Test Product 86,MAT00086,400000000086
01-01-00087,Test Product 87,MAT00087,400000000087
01-01-00088,Test Product 88,MAT00088,400000000088
01-01-00089,Test Product 89,MAT00089,400000000089
01-01-00090,Test Product 90,MAT00090,400000000090
01-01-00091,Test Product 91,MAT00091,400000000091
01-01-00092,Test Product 92,MAT00092,400000000092
01-01-00093,Test Product 93,MAT00093,400000000093
01-01-00094,Test Product 94,MAT00094,400000000094
01-01-00095,Test Product 95,MAT00095,400000000095
01-01-00096,Test Product 96,MAT00096,400000000096
01-01-00097,Test Product 97,MAT00097,400000000097
01-01-00098,Test Product 98,MAT00098,400000000098
01-01-00099,Test Product 99,MAT00099,400000000099
01-01-00100,Test Product 100,MAT00100,400000000100
01-01-00101,Test Product 101,MAT00101,400000000101
01-01-00102,Test Product 102,MAT00102,400000000102
01-01-00103,Test Product 103,MAT00103,400000000103
01-01-00104,Test Product 104,MAT00104,400000000104
01-01-00105,Test Product 105,MAT00105,400000000105
01-01-00106,Test Product 106,MAT00106,400000000106
01-01-00107,Test Product 107,MAT00107,400000000107
01-01-00108,Test Product 108,MAT00108,400000000108
01-01-00109,Test Product 109,MAT00109,400000000109
01-01-00110,Test Product 110,MAT00110,400000000110
01-01-00111,Test Product 111,MAT00111,400000000111
01-01-00112,Test Product 112,MAT00112,400000000112
01-01-00113,Test Product 113,MAT00113,400000000113
01-01-00114,Test Product 114,MAT00114,400000000114
01-01-00115,Test Product 115,MAT00115,400000000115
01-01-00116,Test Product 116,MAT00116,400000000116
01-01-00117,Test Product 117,MAT00117,400000000117
01-01-00118,Test Product 118,MAT00118,400000000118
01-01-00119,Test Product 119,MAT00119,400000000119
01-01-00120,Test Product 120,MAT00120,400000000120
01-01-00121,Test Product 121,MAT00121,400000000121
01-01-00122,Test Product 122,MAT00122,400000000122
01-01-00123,Test Product 123,MAT00123,400000000123
01-01-00124,Test Product 124,MAT00124,400000000124
01-01-00125,Test Product 125,MAT00125,400000000125
01-01-00126,Test Product 126,MAT00126,400000000126
01-01-00127,Test Product 127,MAT00127,400000000127
01-01-00128,Test Product 128,MAT00128,400000000128
01-01-00129,Test Product 129,MAT00129,400000000129
01-01-00130,Test Product 130,MAT00130,400000000130
01-01-00131,Test Product 131,MAT00131,400000000131
01-01-00132,Test Product 132,MAT00132,400000000132
01-01-00133,Test Product 133,MAT00133,400000000133
01-01-00134,Test Product 134,MAT00134,400000000134
01-01-00135,Test Product 135,MAT00135,400000000135
01-01-00136,Test Product 136,MAT00136,400000000136
01-01-00137,Test Product 137,MAT00137,400000000137
