Git Repo Name,API Rate Limit,Cluster Type
crlacczerobalaccapi,25,1x
accnicknameapi,70,1x
acctranslationapi,70,1x
wpiqueryapi,50,1x
getmngrinfoapi,130,1x
wealthdataapi,25,1x
waivecodapi,40,1x
addassetapi,160,1x
addcontactapi,40,1x
clientidentificationapi,60,1x
viewparkinglotsapi,25,1x
cltrsgmtvwmtmreqapi,25,1x
cltrsgmtvwtmcltapi,25,1x
viewcorpresolutionapi,220,1x
viewclienthshldapi,25,1x
viewclientincomeapi,430,1x
mntcifcommentsapi,100,1x
viewassetliabilityapi,40,1x
rlmdlrfincntapi,25,1x
nadaapi,40,1x
accountlistapi,25,1x
igracfapi,50,1x
applicationprofileapi,40,1x
usrselfasscdtlapi,40,1x
usrchallengequesapi,30,1x
mngrdirectreportapi,40,1x
usrprofileapi,30,1x
onlnusrriskassesmtapi,40,1x
loandealerapi,25,1x
branchsearchapi,40,1x
updatecmspinapi,25,1x
trustbuildersupportapi,25,1x
affltsearchapi,40,1x
alertregistrationapi,320,1x
appchalngequesapi,40,1x
mvtxninqapi,2230,1x
txnhistinqapi,410,1x
kbasecuritysvcsapi,25,1x
termsandconditnapi,2280,1x
crltempdebitcrdapi,40,1x
taxintsumsvcapi ,40,1x
tasktrackingapi,25,1x
bankcardappapi,25,1x
stoppmntinqapi,380,1x
callctrstoppayfeeapi,25,1x
stmtsupsdecisionapi,25,1x
archiveproblemapi,25,1x
stmtsecurityapi,70,1x
updshawrewritefileapi,25,1x
updcustatshawapi,25,1x
soapricppapi,25,1x
olbclientapi,2480,1x
ordcheckequitylnapi,25,1x
bankproprimertapyinqapi,280,1x
refundadjustmentapi,330,1x
crlaccvldnusageinqapi,80,1x
addprivacyrecordapi,40,1x
billpmntcheckapi,70,1x
drlgetofcrlndglmtapi,50,1x
soapgetatmctrdtlapi,40,1x
soapezpathupdapi,25,1x
ezpathinitialapi,25,1x
ezpathbsnezofrinqapi,80,1x
blainqapi,110,1x
crtshawloancustapi,40,1x
drlcrtconsloanapi,25,1x
drlcrtcollatapi,25,1x
clientproblemsumapi,50,1x
checkpendingaccapi,25,1x
ricppupdateapi,25,1x
posupdateapi,40,1x
soapposinqapi,150,1x
posaddapi,25,1x
singlesignonapi,30,1x
sigdebtxninqapi,160,1x
salesincentiveapi,50,1x
securitiesexchgapi,350,1x
crdpersonalizationapi,80,1x
cifoperationsapi,30,1x
callctrscndfctrauthapi,40,1x
sapinqapi,40,1x
safeboxapi,30,1x
rmuiclientsearchapi,40,1x
appfilecrtrwdenrapi,25,1x
returneditemapi,510,1x
clntprofileapi,3230,1x
validatecusttypeapi,25,1x
valideaccttypeapi,25,1x
validestateonstartapi,25,1x
relationshipmngtapi,50,1x
validetitleonstartapi,25,1x
ldmusagesubscriberapi,25,1x
checkorderrestapi,25,1x
blaupdateapi,25,1x
docprcngredactimgapi,70,1x
consumerauditlogapi,25,1x
frontofficescanapi,90,1x
generatepdfbarcodeapi,60,1x
genmultiplepdfapi,70,1x
loanreportingapi,50,1x
realtimedispbaltranapi,150,1x
rcmclientoffersapi,25,1x
rateexcpappridvldapi,25,1x
tamapi,40,1x
usrchallengequesv2api,110,1x
cifoperationsapi,25,1x
